FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.518,0.548,0.8,25.0,32.0,31.0,12.0,8.0,4.0,LAC,3,1,1,LAL,0.5060240963855421
0.391,0.3,0.667,18.0,39.0,18.0,8.0,7.0,5.0,BOS,-22,1,0,LAL,0.6829268292682927
0.482,0.31,0.714,28.0,39.0,24.0,12.0,6.0,8.0,ORL,-1,1,0,LAL,0.5476190476190477
0.507,0.379,0.885,26.0,39.0,20.0,13.0,8.0,2.0,PHO,-3,0,0,LAL,0.5476190476190477
0.533,0.463,0.7,20.0,47.0,29.0,10.0,7.0,5.0,GSW,28,0,1,LAL,0.4523809523809524
0.5,0.462,0.727,22.0,37.0,34.0,10.0,14.0,9.0,SAC,24,1,1,LAL,0.2682926829268293
0.47,0.297,0.808,26.0,48.0,29.0,22.0,7.0,12.0,NOP,9,1,1,LAL,0.3170731707317073
0.517,0.419,0.667,15.0,32.0,30.0,10.0,12.0,1.0,DEN,-7,0,0,LAL,0.6585365853658537
0.529,0.459,0.913,23.0,43.0,25.0,13.0,5.0,2.0,IND,11,1,1,LAL,0.23170731707317074
0.432,0.341,0.833,30.0,42.0,20.0,14.0,10.0,5.0,NYK,13,1,1,LAL,0.6463414634146342
0.484,0.289,0.731,26.0,47.0,31.0,7.0,7.0,2.0,MIN,14,1,1,LAL,0.5975609756097561
0.556,0.472,0.714,21.0,41.0,31.0,10.0,9.0,4.0,CHI,12,1,1,LAL,0.3780487804878049
0.516,0.333,0.654,26.0,46.0,31.0,17.0,10.0,6.0,DEN,2,1,1,LAL,0.6585365853658537
0.44,0.235,0.818,22.0,32.0,17.0,12.0,14.0,2.0,HOU,8,0,1,LAL,0.6341463414634146
0.605,0.469,0.63,27.0,34.0,30.0,14.0,6.0,8.0,HOU,8,0,1,LAL,0.6341463414634146
0.531,0.438,0.756,45.0,47.0,23.0,13.0,8.0,3.0,MIA,8,0,1,LAL,0.5180722891566265
0.448,0.25,0.655,29.0,43.0,19.0,12.0,11.0,6.0,ORL,1,0,1,LAL,0.5476190476190477
0.481,0.276,0.839,31.0,39.0,27.0,13.0,6.0,6.0,DET,-3,0,0,LAL,0.7317073170731707
0.562,0.391,0.824,34.0,39.0,30.0,14.0,15.0,4.0,IND,7,0,1,LAL,0.23170731707317074
0.543,0.44,0.69,42.0,48.0,18.0,15.0,9.0,9.0,BRK,17,1,1,LAL,0.24390243902439024
0.557,0.292,0.781,32.0,48.0,29.0,15.0,7.0,7.0,WAS,19,1,1,LAL,0.2073170731707317
0.542,0.419,0.923,26.0,37.0,26.0,12.0,9.0,4.0,CLE,14,1,1,LAL,0.6341463414634146
0.43,0.233,0.778,27.0,38.0,20.0,18.0,8.0,5.0,OKC,-43,0,0,LAL,0.7804878048780488
0.516,0.296,0.788,33.0,49.0,36.0,12.0,6.0,1.0,DAL,-6,0,0,LAL,0.3170731707317073
0.438,0.346,0.452,31.0,38.0,26.0,17.0,7.0,3.0,OKC,-36,1,0,LAL,0.7804878048780488
0.613,0.552,0.625,8.0,33.0,37.0,19.0,14.0,3.0,GSW,16,0,1,LAL,0.4523809523809524
0.507,0.4,0.767,30.0,35.0,27.0,11.0,17.0,3.0,PHO,28,1,1,LAL,0.5476190476190477
0.548,0.441,0.824,17.0,49.0,37.0,17.0,12.0,6.0,UTA,24,1,1,LAL,0.2682926829268293
0.451,0.256,0.885,26.0,42.0,16.0,11.0,7.0,4.0,PHI,-1,1,0,BOS,0.5542168674698795
0.427,0.341,0.667,15.0,37.0,19.0,16.0,10.0,7.0,NYK,-10,0,0,BOS,0.6463414634146342
0.426,0.333,0.75,24.0,38.0,17.0,12.0,11.0,8.0,DET,-6,0,0,BOS,0.7317073170731707
0.484,0.34,0.8,15.0,54.0,25.0,12.0,5.0,7.0,NOP,32,0,1,BOS,0.3170731707317073
0.442,0.368,0.833,24.0,53.0,29.0,10.0,11.0,3.0,CLE,20,1,1,BOS,0.6341463414634146
0.436,0.311,0.583,12.0,45.0,26.0,10.0,8.0,7.0,PHI,1,0,1,BOS,0.5542168674698795
0.388,0.318,1.0,7.0,36.0,24.0,10.0,9.0,2.0,HOU,-27,1,0,BOS,0.6341463414634146
0.416,0.216,0.818,22.0,36.0,21.0,10.0,12.0,4.0,UTA,-2,1,0,BOS,0.2682926829268293
0.547,0.39,0.762,21.0,40.0,31.0,7.0,12.0,3.0,WAS,29,1,1,BOS,0.2073170731707317
